Sample_code;Project;Cruise_year;Cruise_number;Station_event_code;Station_number;Sampling_tool;Sampling_tool_serial_id;Core_code;Slice_interval_from_cm;Slice_interval_to_cm;Longitude;Latitude;Position_info;Depth;Batch_code;Naphthalene_µg/kg;2-Methylnaphthalene_µg/kg;1-Methylnaphthalene_µg/kg;Biphenyl_µg/kg;C2-Naphthalenes_µg/kg;2,6-Dimethylnaphthalene_µg/kg;1,3-Dimethylnaphthalene_µg/kg;2,3-Dimethylnaphthalene_µg/kg;1,4-Dimethylnaphthalene_µg/kg;C3-Naphthalenes_µg/kg;Acenaphthylene_µg/kg;Acenaphthene_µg/kg;Dibenzofuran_µg/kg;1,3,7-Trimethylnaphthalene_µg/kg;2,3,5-Trimethylnaphthalene_µg/kg;1,2,3-Trimethylnaphthalene_µg/kg;1,4,6,7-Tetramethylnaphthalene_µg/kg;1,2,5,6-Tetramethylnaphthalene_µg/kg;Fluorene_µg/kg;1-Methylfluorene_µg/kg;Dibenzothiophene_µg/kg;Phenanthrene_µg/kg;Anthracene_µg/kg;C1-Phenanthrenes_µg/kg;C2-Phenanthrenes_µg/kg;C3-Phenanthrenes_µg/kg;C1-Dibenzothiophenes_µg/kg;C2-Dibenzothiophenes_µg/kg;C3-Dibenzothiophenes_µg/kg;4-Methyldibenzothiophene_µg/kg;3-Methylphenanthrene_µg/kg;2-Methylphenanthrene_µg/kg;9-Methylphenanthrene_µg/kg;1-Methylphenanthrene_µg/kg;4-Ethyldibenzothiophene_µg/kg;3,6-Dimethylphenanthrene_µg/kg;4-Propyldibenzothiophene_µg/kg;(1,5+1,7)-Dimethylphenanthrenes_µg/kg;1,5-Dimethylphenanthrene_µg/kg;1,7-Dimethylphenanthrene_µg/kg;1,2-Dimethylphenanthrene_µg/kg;2,6,9-Trimethylphenanthrene_µg/kg;1,2,6-Trimethylphenanthrene_µg/kg;(1,2,5+1,2,7)-Trimethylphenanthrenes_µg/kg;1,2,7-Trimethylphenanthrene_µg/kg;1,2,6,9-Tetramethylphenanthrene_µg/kg;Fluoranthene_µg/kg;Pyrene_µg/kg;Benz[a]anthracene_µg/kg;Chrysene_µg/kg;1-Methylchrysene_µg/kg;6-Ethylchrysene_µg/kg;6-Propylchrysene_µg/kg;Benzo[b,j,k]fluoranthenes_µg/kg;Benzo[b]fluoranthene_µg/kg;Benzo[k]fluoranthene_µg/kg;Benzo[j]fluoranthene_µg/kg;Benzo[e]pyrene_µg/kg;Benzo[a]pyrene_µg/kg;Perylene_µg/kg;Indeno[1,2,3-cd]pyrene_µg/kg;Dibenz[a,h]anthracene_µg/kg;Benzo[ghi]perylene_µg/kg;THC_mg/kg;BDE_28_µg/kg;BDE_35_µg/kg;BDE_75_µg/kg;BDE_49_µg/kg;BDE_71_µg/kg;BDE_49+BDE_71_µg/kg;BDE_47_µg/kg;BDE_66_µg/kg;BDE_77_µg/kg;BDE_100_µg/kg;BDE_119_µg/kg;BDE_99_µg/kg;BDE_118_µg/kg;BDE_85_µg/kg;BDE_154_µg/kg;BDE_153_µg/kg;BDE_138_µg/kg;BDE_183_µg/kg;BDE_181_µg/kg;BDE_190_µg/kg;BDE_207_µg/kg;BDE_203_µg/kg;BDE_196_µg/kg;BDE_205_µg/kg;BDE_195_µg/kg;BDE_206_µg/kg;BDE_209_µg/kg;PCB_28_µg/kg;PCB_31_µg/kg;PCB_52_µg/kg;PCB_101_µg/kg;PCB_105_µg/kg;PCB_118_µg/kg;PCB_138_µg/kg;PCB_153_µg/kg;PCB_156_µg/kg;PCB_180_µg/kg;p,p'-DDD_µg/kg;p,p'-DDE_µg/kg;p,p'-DDT_µg/kg;HCB_µg/kg;α-HCH_µg/kg;β-HCH_µg/kg;γ-HCH_µg/kg;trans-Nonachlor_µg/kg;Dieldrin_µg/kg;Siloxane_D4_µg/kg;Siloxane_D5_µg/kg;Siloxane_D6_µg/kg;SCCP_µg/kg;MCCP_µg/kg;LCCP_µg/kg;TEP_µg/kg;TCEP_µg/kg;TPrP_µg/kg;TCIPP_µg/kg;TiBP_µg/kg;TiBP+TnBP_µg/kg;BdPhP_µg/kg;TPHP_µg/kg;DBPhP_µg/kg;TnBP_µg/kg;TDCIPP_µg/kg;TBOEP_µg/kg;TCP_µg/kg;EHDP_µg/kg;TEHP_µg/kg;TXP_µg/kg;TIPPP_µg/kg;TTBPP_µg/kg;2-IPPDPP_µg/kg;4-IPPDPP_µg/kg;B4IPPPP+isomerer_µg/kg;4-tert-Octylphenol_µg/kg;4-tert-Octylphenol_monoethoxylate_µg/kg;4-tert-Octylphenol_diethoxylate_µg/kg;4-Nonylphenol_µg/kg;4-Nonylphenol_monoethoxylate_µg/kg;4-Nonylphenol_diethoxylate_µg/kg;Bisphenol_A_µg/kg;PFOSA_µg/kg;PFBS_µg/kg;PFPS_µg/kg;PFHxS_µg/kg;PFHpS_µg/kg;brPFOS_µg/kg;linPFOS_µg/kg;PFOS_µg/kg;PFNS_µg/kg;PFDcS_µg/kg;PFHxA_µg/kg;PFHpA_µg/kg;PFOA_µg/kg;PFNA_µg/kg;PFDcA_µg/kg;PFUnDA_µg/kg;PFDoA_µg/kg;PFTriA_µg/kg;PFTeA_µg/kg;4:2_FTS_µg/kg;6:2_FTS_µg/kg;8:2_FTS_µg/kg;Dibromoaldrin_µg/kg;Dechlorane_601_µg/kg;Dechlorane_602_µg/kg;Dechlorane_603_µg/kg;Dechlorane_604_µg/kg;Dechlorane_plus_syn_µg/kg;Dechlorane_plus_anti_µg/kg
2006612R01MC85B_00-01;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;0;1;21.677283;70.463817;2;-466.27;2011-4;1.5;2.6;1.6;;12;;;;;13;<0.5;<0.5;;;;;;;1.6;;0.70;7.1;0.80;9.1;6.4;7.4;1.4;3.1;3.6;;;;;;;;;;;;;;;;;;8.7;5.3;3.9;6.4;;;;54;;;;16;4.2;8.0;44;4.9;24;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_01-02;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;1;2;21.677283;70.463817;2;-466.27;2011-4;1.1;2.1;1.3;;9.7;;;;;9.9;<0.5;<0.5;;;;;;;1.2;;0.60;5.7;0.70;7.7;5.3;5.6;1.3;2.6;3.2;;;;;;;;;;;;;;;;;;8.3;4.8;3.7;5.6;;;;58;;;;16;3.5;6.6;46;5.6;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_02-03;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;2;3;21.677283;70.463817;2;-466.27;2011-4;1.1;2.1;1.3;;9.2;;;;;9.2;<0.5;<0.5;;;;;;;1.1;;0.50;5.3;0.90;7.1;5.5;5.5;1.2;2.7;3.4;;;;;;;;;;;;;;;;;;8.8;5.4;3.9;5.4;;;;53;;;;15;3.8;6.9;42;5.0;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_03-04;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;3;4;21.677283;70.463817;2;-466.27;2011-4;1.0;2.1;1.2;;7.9;;;;;8.7;<0.5;<0.5;;;;;;;1.0;;0.50;5.6;0.70;7.2;4.7;4.7;0.80;1.4;1.5;;;;;;;;;;;;;;;;;;8.8;4.8;4.2;5.6;;;;61;;;;17;4.0;6.7;49;5.7;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_04-05;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;4;5;21.677283;70.463817;2;-466.27;2011-4;1.1;2.0;1.1;;7.3;;;;;8.4;<0.5;<0.5;;;;;;;0.90;;0.50;5.6;0.80;7.2;4.8;5.2;0.90;1.5;1.6;;;;;;;;;;;;;;;;;;10;5.4;4.8;6.4;;;;78;;;;21;4.8;6.5;61;7.1;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_05-06;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;5;6;21.677283;70.463817;2;-466.27;2011-4;1.0;1.9;1.2;;7.1;;;;;8.6;<0.5;<0.5;;;;;;;1.0;;0.60;5.6;0.80;6.8;4.8;5.0;0.80;1.5;1.7;;;;;;;;;;;;;;;;;;11;5.7;5.0;6.4;;;;81;;;;24;5.3;6.5;69;8.3;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_06-07;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;6;7;21.677283;70.463817;2;-466.27;2011-4;1.1;2.1;1.2;;7.6;;;;;9.0;<0.5;<0.5;;;;;;;1.0;;0.60;6.1;1.0;7.1;5.1;5.4;0.90;1.6;1.9;;;;;;;;;;;;;;;;;;12;6.2;5.6;7.1;;;;87;;;;26;5.8;6.5;73;8.5;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_07-08;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;7;8;21.677283;70.463817;2;-466.27;2011-4;1.1;2.0;1.2;;7.2;;;;;7.7;<0.5;<0.5;;;;;;;1.0;;0.60;6.2;0.90;7.1;5.1;5.6;0.90;1.7;2.0;;;;;;;;;;;;;;;;;;13;7.1;5.9;7.3;;;;92;;;;26;6.3;6.6;71;8.4;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_08-09;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;8;9;21.677283;70.463817;2;-466.27;2011-4;1.1;2.0;1.2;;7.5;;;;;8.6;<0.5;<0.5;;;;;;;1.0;;0.60;6.2;1.0;7.2;5.2;5.6;0.90;1.8;2.2;;;;;;;;;;;;;;;;;;13;6.7;5.9;7.3;;;;87;;;;25;6.0;7.2;72;8.7;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_09-10;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;9;10;21.677283;70.463817;2;-466.27;2011-4;1.3;2.2;1.3;;8.1;;;;;9.4;<0.5;<0.5;;;;;;;1.1;;0.70;6.4;1.0;7.8;5.6;5.9;1.1;2.2;2.5;;;;;;;;;;;;;;;;;;13;6.9;5.9;7.4;;;;94;;;;27;6.3;7.9;74;8.7;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_10-11;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;10;11;21.677283;70.463817;2;-466.27;2011-4;1.2;2.4;1.3;;8.5;;;;;9.7;<0.5;<0.5;;;;;;;1.2;;0.70;6.6;1.0;7.8;5.6;6.1;1.1;2.1;2.5;;;;;;;;;;;;;;;;;;14;6.9;6.0;7.4;;;;92;;;;27;6.3;7.4;74;8.7;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_11-12;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;11;12;21.677283;70.463817;2;-466.27;2011-4;1.1;2.2;1.2;;7.8;;;;;8.9;<0.5;<0.5;;;;;;;1.1;;0.60;6.3;1.0;7.3;5.3;5.7;0.90;1.9;2.2;;;;;;;;;;;;;;;;;;14;6.9;6.1;7.1;;;;96;;;;27;6.2;7.0;74;8.6;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_12-13;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;12;13;21.677283;70.463817;2;-466.27;2011-4;1.0;1.9;1.1;;7.4;;;;;8.4;<0.5;<0.5;;;;;;;1.0;;0.60;5.9;0.90;6.9;5.4;5.7;0.80;1.8;2.0;;;;;;;;;;;;;;;;;;13;6.9;6.0;6.9;;;;92;;;;26;6.3;6.2;72;8.2;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_13-14;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;13;14;21.677283;70.463817;2;-466.27;2011-4;1.1;2.1;1.1;;7.0;;;;;7.6;<0.5;<0.5;;;;;;;1.0;;0.60;5.9;0.90;7.0;5.0;5.2;0.90;1.6;1.7;;;;;;;;;;;;;;;;;;13;6.7;5.8;6.4;;;;97;;;;28;6.4;6.2;76;9.1;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_14-15;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;14;15;21.677283;70.463817;2;-466.27;2011-4;1.1;1.8;1.1;;6.5;;;;;7.1;<0.5;<0.5;;;;;;;1.0;;<0.5;5.3;0.80;6.4;4.5;4.5;0.70;1.3;1.3;;;;;;;;;;;;;;;;;;13;6.3;5.1;6.0;;;;87;;;;25;5.8;5.4;68;7.2;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006612R01MC85B_15-16;Mareano (2006- );2006;612;R01MC85;R01;MC;85;B;15;16;21.677283;70.463817;2;-466.27;2011-4;1.3;2.2;1.3;;8.9;;;;;8.0;<0.5;<0.5;;;;;;;1.1;;0.50;5.2;0.80;6.1;4.9;5.2;1.0;2.4;2.7;;;;;;;;;;;;;;;;;;12;6.4;5.2;5.6;;;;80;;;;23;5.6;5.5;63;7.0;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
