source_layer,year,month,lon,lat,offshore_km,zone,水质类别,pH值,溶解氧_mg_L,化学需氧量_mg_L,无机氮_mg_L,活性磷酸盐_mg_L,石油类_mg_L,Site,City_CN,Province_CN,Sea_CN
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.20000000000005,39.14000000000004,36.74753869308546,过渡,一类,8.18,9.61,0.62,0.047,0.004,0.014,B21YQ510,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.40000000000009,39.13000000000005,18.20535360820941,近岸,一类,8.23,9.74,0.78,0.139,0.004,0.017,B21YQ003,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.54000000000008,39.13000000000005,15.097632264704416,近岸,一类,8.25,9.68,0.82,0.116,0.014,0.017,B21YQ002,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.50000000000011,39.13000000000005,14.430000000005805,近岸,一类,8.23,9.72,0.7,0.149,0.005,0.021,B21YQ004,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.32000000000005,38.990000000000066,20.01080957881919,过渡,一类,8.13,9.46,1.23,0.102,0.004,0.029,B21YQ033,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.67000000100006,39.34000000000003,42.194602785067985,过渡,劣四类,8.03,7.86,0.86,0.781,0.007,0.036,B21YQ005,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.5200000000001,39.25999999900006,28.945258568433978,过渡,一类,8.05,8.09,0.74,0.115,0.008,0.036,B21YQ034,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.08000000000004,39.09000000100008,46.36824872578294,过渡,一类,8.14,10.19,0.47,0.04,0.004,0.016,B21YQ521,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.88000000000011,38.990000000000066,58.15594982457812,远海,一类,8.21,9.97,0.79,0.034,0.004,0.015,B21YQ522,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.06000000000006,38.430000000000064,68.28981256380803,远海,一类,8.13,9.81,0.64,0.034,0.004,0.025,H00JQ509,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.11000000000001,38.75000000000006,51.4206826092334,远海,三类,8.04,9.54,0.75,0.116,0.011,0.161,B21YQ001,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.09000000000003,38.88000000000005,47.419220786507275,过渡,一类,8.16,8.22,0.71,0.113,0.009,0.036,B21YQ032,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.94000000000005,38.78000000000003,66.78474376681463,远海,一类,8.17,7.83,0.63,0.129,0.014,0.026,B21YQ511,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.15000000000009,38.72000000000003,49.75227532484346,过渡,二类,8.11,9.76,0.79,0.134,0.021,0.023,H21YQ522,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.11000000000001,39.50000000000006,12.210000000001514,近岸,一类,8.19,10.37,0.38,0.043,0.003,0.015,B21YQ508,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.17000000000007,39.33000000000004,26.686209921982805,过渡,一类,8.19,9.82,0.45,0.041,0.003,0.018,B21YQ509,大连,辽宁,渤海
